NICKNAME,SLOTID,CREATEDON,CREATEDBY,UPDATEDON,UPDATEDBY,WAREHOUSEID,ZONE,FROMDTIME,TODTIME,SLOT,PRODUCTCATEGORY
CSP1 LA,349107,06:15.0,43877,,,W0001,A,00:00.0,00:00.0,11,
CSP1 LA,349108,06:15.0,43877,,,W0001,B,00:00.0,00:00.0,18,
CSP1 LA,349109,06:15.0,43877,,,W0001,C,00:00.0,00:00.0,18,
CSP1 LA,349110,06:15.0,43877,,,W0001,D,00:00.0,00:00.0,13,
CSP1 LA,349111,06:15.0,43877,,,W0001,E,00:00.0,00:00.0,10,
CSP1 LA,349112,06:15.0,43877,,,W0001,G,00:00.0,00:00.0,10,
CSP1 LA,349113,06:15.0,43877,,,W0001,H,00:00.0,00:00.0,10,
CSP1 LA,349114,06:15.0,43877,,,W0001,C,00:00.0,00:00.0,7,
CSP1 LA,349115,06:15.0,43877,,,W0001,G,00:00.0,00:00.0,7,
CSP1 LA,350665,26:48.0,43877,,,W0001,A,00:00.0,00:00.0,10,
CSP1 LA,350666,26:48.0,43877,,,W0001,B,00:00.0,00:00.0,10,
CSP1 LA,350667,26:48.0,43877,,,W0001,C,00:00.0,00:00.0,20,
CSP1 LA,350668,26:48.0,43877,,,W0001,D,00:00.0,00:00.0,20,
CSP1 LA,350669,26:48.0,43877,,,W0001,E,00:00.0,00:00.0,10,
CSP1 LA,350670,26:48.0,43877,,,W0001,G,00:00.0,00:00.0,10,
CSP1 LA,350671,26:48.0,43877,,,W0001,H,00:00.0,00:00.0,10,
CSP1 LA,350672,26:48.0,43877,,,W0001,A,00:00.0,00:00.0,10,
CSP1 LA,350673,26:48.0,43877,,,W0001,B,00:00.0,00:00.0,10,
CSP1 LA,350674,26:48.0,43877,,,W0001,C,00:00.0,00:00.0,18,
CSP1 LA,350675,26:48.0,43877,,,W0001,D,00:00.0,00:00.0,14,
CSP1 LA,350676,26:48.0,43877,,,W0001,E,00:00.0,00:00.0,15,
CSP1 LA,350677,26:48.0,43877,,,W0001,G,00:00.0,00:00.0,15,
CSP1 LA,350678,26:48.0,43877,,,W0001,H,00:00.0,00:00.0,20,
CSP1 LA,350679,26:48.0,43877,,,W0001,A,00:00.0,00:00.0,10,
CSP1 LA,350680,26:48.0,43877,,,W0001,B,00:00.0,00:00.0,10,
CSP1 LA,350681,26:48.0,43877,,,W0001,C,00:00.0,00:00.0,15,
CSP1 LA,350682,26:48.0,43877,,,W0001,D,00:00.0,00:00.0,18,
CSP1 LA,350683,26:48.0,43877,,,W0001,E,00:00.0,00:00.0,20,
CSP1 LA,350684,26:48.0,43877,,,W0001,G,00:00.0,00:00.0,20,
CSP1 LA,350685,26:48.0,43877,,,W0001,H,00:00.0,00:00.0,15,
CSP1 LA,350686,26:48.0,43877,,,W0001,A,00:00.0,00:00.0,11,
CSP1 LA,350687,26:48.0,43877,,,W0001,B,00:00.0,00:00.0,18,
CSP1 LA,350688,26:48.0,43877,,,W0001,C,00:00.0,00:00.0,18,
CSP1 LA,350689,26:48.0,43877,,,W0001,D,00:00.0,00:00.0,13,
CSP1 LA,350690,26:48.0,43877,,,W0001,E,00:00.0,00:00.0,18,
CSP1 LA,350691,26:48.0,43877,,,W0001,G,00:00.0,00:00.0,10,
CSP1 LA,350692,26:48.0,43877,,,W0001,H,00:00.0,00:00.0,10,
CSP1 LA,350693,26:48.0,43877,,,W0001,A,00:00.0,00:00.0,11,
CSP1 LA,350694,26:48.0,43877,,,W0001,B,00:00.0,00:00.0,18,
CSP1 LA,350695,26:48.0,43877,,,W0001,C,00:00.0,00:00.0,18,
CSP1 LA,350696,26:48.0,43877,,,W0001,D,00:00.0,00:00.0,13,
CSP1 LA,350697,26:48.0,43877,,,W0001,E,00:00.0,00:00.0,10,
CSP1 LA,350698,26:48.0,43877,,,W0001,G,00:00.0,00:00.0,10,
CSP1 LA,350699,26:48.0,43877,,,W0001,H,00:00.0,00:00.0,10,
CSP1 LA,350700,26:48.0,43877,,,W0001,C,00:00.0,00:00.0,7,
CSP1 LA,350701,26:48.0,43877,,,W0001,G,00:00.0,00:00.0,7,
CSP1 LA,350702,26:52.0,43877,,,W0001,A,00:00.0,00:00.0,10,
CSP1 LA,350703,26:52.0,43877,,,W0001,B,00:00.0,00:00.0,10,
CSP1 LA,350704,26:52.0,43877,,,W0001,C,00:00.0,00:00.0,20,
CSP1 LA,350705,26:52.0,43877,,,W0001,D,00:00.0,00:00.0,20,
CSP1 LA,350706,26:52.0,43877,,,W0001,E,00:00.0,00:00.0,10,
CSP1 LA,350707,26:52.0,43877,,,W0001,G,00:00.0,00:00.0,10,
CSP1 LA,350708,26:52.0,43877,,,W0001,H,00:00.0,00:00.0,10,
CSP1 LA,350709,26:52.0,43877,,,W0001,A,00:00.0,00:00.0,10,
CSP1 LA,350710,26:52.0,43877,,,W0001,B,00:00.0,00:00.0,10,
CSP1 LA,350711,26:52.0,43877,,,W0001,C,00:00.0,00:00.0,18,
CSP1 LA,350712,26:52.0,43877,,,W0001,D,00:00.0,00:00.0,14,
CSP1 LA,350713,26:52.0,43877,,,W0001,E,00:00.0,00:00.0,15,
CSP1 LA,350714,26:52.0,43877,,,W0001,G,00:00.0,00:00.0,15,
CSP1 LA,350715,26:52.0,43877,,,W0001,H,00:00.0,00:00.0,20,
CSP1 LA,350716,26:52.0,43877,,,W0001,A,00:00.0,00:00.0,10,
CSP1 LA,350717,26:52.0,43877,,,W0001,B,00:00.0,00:00.0,10,
CSP1 LA,350718,26:52.0,43877,,,W0001,C,00:00.0,00:00.0,15,
CSP1 LA,350719,26:52.0,43877,,,W0001,D,00:00.0,00:00.0,18,
CSP1 LA,350720,26:52.0,43877,,,W0001,E,00:00.0,00:00.0,20,
CSP1 LA,350721,26:52.0,43877,,,W0001,G,00:00.0,00:00.0,20,
CSP1 LA,350722,26:52.0,43877,,,W0001,H,00:00.0,00:00.0,15,
CSP1 LA,350723,26:52.0,43877,,,W0001,A,00:00.0,00:00.0,11,
CSP1 LA,350724,26:52.0,43877,,,W0001,B,00:00.0,00:00.0,18,
CSP1 LA,350725,26:52.0,43877,,,W0001,C,00:00.0,00:00.0,18,
CSP1 LA,350726,26:52.0,43877,,,W0001,D,00:00.0,00:00.0,13,
CSP1 LA,350727,26:52.0,43877,,,W0001,E,00:00.0,00:00.0,18,
CSP1 LA,350728,26:52.0,43877,,,W0001,G,00:00.0,00:00.0,10,
CSP1 LA,350729,26:52.0,43877,,,W0001,H,00:00.0,00:00.0,10,
CSP1 LA,350730,26:52.0,43877,,,W0001,A,00:00.0,00:00.0,11,
CSP1 LA,350731,26:52.0,43877,,,W0001,B,00:00.0,00:00.0,18,
CSP1 LA,350732,26:52.0,43877,,,W0001,C,00:00.0,00:00.0,18,
CSP1 LA,350733,26:52.0,43877,,,W0001,D,00:00.0,00:00.0,13,
